Crab #,C or T,Carapace Length,Carapace width,Collection Date,Death date,# of days alive,Enviro Plastics present Y/N,# of Yellow fibers ingested,# of days with viable eggs,Reach Larval Stage Y/N,# of stages,Egg Stage end of exp 
1,c,16.04,12.54,8/4/18,10/14/18,71,N,0,21,y,1,8
2,c,21.3,17.15,8/4/18,10/14/18,71,N,0,71,y,5,3
3,c,17.13,12,8/4/18,10/14/18,71,N,0,24,y,4,5
4,c,25.49,19.22,8/4/18,10/14/18,71,N,0,71,y,4,4
5,c,15.02,12.46,8/4/18,10/14/18,71,N,0,24,y,10,8
6,c,16.6,12.59,8/4/18,10/14/18,71,N,0,21,y,9,7
7,c,17.45,13.78,8/4/18,8/19/18,15,N,0,15,y,1,7
8,c,19.54,13.35,8/4/18,10/14/18,71,N,0,24,y,7,2
9,c,19.39,14.36,8/4/18,10/14/18,71,N,0,60,y,6,3
10,c,24.53,20.42,8/4/18,10/14/18,71,N,0,71,n,1,4
11,c,17.92,13.08,8/4/18,10/14/18,71,N,0,71,n,3,3
12,c,23.27,19.3,8/4/18,10/14/18,71,N,0,71,n,3,3
13,c,18.26,15.1,8/4/18,10/14/18,71,N,0,71,n,3,3
14,c,17.78,15.41,8/4/18,10/14/18,71,N,0,6,y,1,9
15,c,16.48,13.81,8/4/18,8/25/18,21,N,0,18,y,2,9
16,c,18.37,13.48,8/4/18,10/5/18,62,N,0,47,y,4,5
17,c,20.24,14.38,8/4/18,10/14/18,71,N,0,40,y,4,5
18,c,25.44,20.86,8/4/18,9/1/18,28,N,0,9,y,1,10
19,c,21.51,17.27,8/4/18,8/15/18,11,N,0,18,y,1,10
20,c,18.31,14.45,8/4/18,8/25/18,21,N,0,21,y,1,10
21,c,14.85,10.55,8/4/18,10/14/18,71,N,0,12,y,1,9
22,c,15.3,12.73,8/4/18,10/14/18,71,N,0,24,y,3,7
23,c,19.99,15.34,8/4/18,10/14/18,71,N,0,71,y,7,2
24,c ,23.96,18.48,8/4/18,8/7/18,3,Y,0,18,n,1,3
25,c,16.82,13.24,8/4/18,10/14/18,71,N,0,33,y,2,8
26,c ,18.44,13.41,8/4/18,9/16/18,43,Y,0,27,y,1,9
27,c,18.2,15.49,8/4/18,10/14/18,71,N,0,30,y,1,9
28,c,23.27,19.45,8/4/18,10/14/18,71,N,0,71,y,4,3
29,c,16.2,13.36,8/4/18,10/14/18,71,N,0,30,y,2,8
30,c,17.45,12.92,8/4/18,9/10/18,37,N,0,37,n,1,4
31,c,24.33,20.72,8/4/18,8/13/18,9,N,0,27,y,1,10
32,c ,17.92,14.44,8/4/18,10/14/18,71,Y,0,71,y,6,3
1,t,19.65,14.94,8/4/18,10/14/18,71,N,4,24,y,3,7
2,t,23.78,19.12,8/4/18,10/14/18,71,N,2,71,n,2,3
3,t,22.3,18.11,8/4/18,10/14/18,71,N,1,18,y,1,9
4,t,19.3,14.82,8/4/18,9/26/18,53,N,1,33,y,0,9
5,t,17.08,12.61,8/4/18,8/28/18,24,N,1,9,y,1,9
6,t,18.88,15.7,8/4/18,8/19/18,15,N,2,6,y,0,10
7,t ,18.3,14.22,8/4/18,9/24/18,51,Y,2,37,n,2,4
8,t,20.46,15.02,8/4/18,8/27/18,23,N,1,6,y,1,9
9,t,17.82,13.55,8/4/18,10/14/18,71,N,3,30,y,4,6
10,t ,14.34,11.9,8/4/18,10/14/18,71,Y,1,33,y,1,9
11,t,23.89,21.67,8/4/18,10/14/18,71,N,1,21,y,1,8
12,t,17.77,14.15,8/4/18,10/14/18,71,N,1,33,y,2,8
13,t ,22.49,18.28,8/4/18,9/26/18,53,Y,2,50,n,4,2
14,t,14.56,10.2,8/4/18,8/13/18,9,N,1,12,y,1,9
15,t,13.87,10.62,8/4/18,10/14/18,71,N,1,12,y,0,9
16,t,24.53,18.41,8/4/18,10/14/18,71,N,2,71,n,4,2
17,t,16.43,14.17,8/4/18,10/14/18,71,N,1,15,y,1,8
18,t,18.92,16.02,8/4/18,8/27/18,23,N,1,47,y,2,8
19,t,18.04,14.39,8/4/18,8/31/18,27,N,2,15,y,0,9
20,t,16.73,14.17,8/4/18,9/13/18,40,N,1,12,y,1,9
21,t ,18.56,13.91,8/4/18,8/28/18,24,Y,5,21,y,0,8
22,t,16.33,12.97,8/4/18,10/14/18,71,N,1,60,y,5,4
23,t,20.61,15.5,8/4/18,8/25/18,21,N,4,21,y,4,5
24,t,22.23,17.39,8/4/18,8/25/18,21,N,1,21,n,0,2
25,t,22.06,15.72,8/4/18,8/28/18,24,N,3,27,n,3,2
26,t,21.34,17.7,8/4/18,10/14/18,71,N,1,9,n,0,2
27,t,24.52,19.67,8/4/18,8/13/18,9,N,3,33,y,0,10
28,t,15.73,12.23,8/4/18,8/13/18,9,N,1,30,n,1,3
29,t,16.74,11.29,8/4/18,10/14/18,71,N,1,56,y,5,4
30,t,17.67,14,8/4/18,9/10/18,37,N,1,6,y,0,10
31,t,15.99,11.67,8/4/18,10/14/18,71,N,1,47,n,6,4
32,t,17.39,12.88,8/4/18,10/14/18,71,N,5,21,y,6,10
